date,coastal,icen_category
2019-01-01,0.8,Cálida débil
2019-02-01,0.49,Cálida débil
2019-03-01,0.313,Neutral
2019-04-01,0.207,Neutral
2019-05-01,0.053,Neutral
2019-06-01,-0.277,Neutral
2019-07-01,-0.597,Fría débil
2019-08-01,-0.72,Fría débil
2019-09-01,-0.737,Fría débil
2019-10-01,-0.52,Fría débil
2019-11-01,-0.297,Neutral
2019-12-01,-0.173,Neutral
2020-01-01,-0.13,Neutral
2020-02-01,-0.137,Neutral
2020-03-01,0.08,Neutral
2020-04-01,0.027,Neutral
2020-05-01,-0.187,Neutral
2020-06-01,-0.707,Fría débil
2020-07-01,-1.01,Fría moderada
2020-08-01,-1.183,Fría moderada
2020-09-01,-0.957,Fría débil
2020-10-01,-0.8,Fría débil
2020-11-01,-0.593,Fría débil
2020-12-01,-0.687,Fría débil
2021-01-01,-0.78,Fría débil
2021-02-01,-0.83,Fría débil
2021-03-01,-0.85,Fría débil
2021-04-01,-0.827,Fría débil
2021-05-01,-0.7,Fría débil
2021-06-01,-0.457,Fría débil
2021-07-01,-0.29,Neutral
2021-08-01,-0.4,Neutral
2021-09-01,-0.62,Fría débil
2021-10-01,-0.897,Fría débil
2021-11-01,-1.227,Fría moderada
2021-12-01,-1.307,Fría moderada
2022-01-01,-1.46,La Niña Costera fuerte
2022-02-01,-1.15,Fría moderada
2022-03-01,-1.247,Fría moderada
2022-04-01,-1.273,Fría moderada
2022-05-01,-1.517,La Niña Costera fuerte
2022-06-01,-1.45,La Niña Costera fuerte
2022-07-01,-1.097,Fría moderada
2022-08-01,-0.94,Fría débil
2022-09-01,-1.133,Fría moderada
2022-10-01,-1.31,Fría moderada
2022-11-01,-1.123,Fría moderada
2022-12-01,-0.717,Fría débil
2023-01-01,-0.18,Neutral
2023-02-01,0.47,Cálida débil
2023-03-01,1.53,El Niño Costero moderado
2023-04-01,2.11,Fuerte
2023-05-01,2.447,Fuerte
2023-06-01,2.567,Fuerte
2023-07-01,2.923,Fuerte
2023-08-01,2.897,Fuerte
2023-09-01,2.677,Fuerte
2023-10-01,2.27,Fuerte
2023-11-01,2.0,Fuerte
2023-12-01,1.657,El Niño Costero moderado
2024-01-01,1.34,El Niño Costero moderado
2024-02-01,0.887,Cálida débil
2024-03-01,0.387,Neutral
2024-04-01,-0.373,Neutral
2024-05-01,-0.773,Fría débil
2024-06-01,-0.963,Fría débil
2024-07-01,-0.717,Fría débil
2024-08-01,-0.65,Fría débil
2024-09-01,-0.497,Fría débil
2024-10-01,-0.337,Neutral
2024-11-01,-0.097,Neutral
2024-12-01,-0.1,Neutral
2025-01-01,0.073,Neutral
2025-02-01,0.413,Cálida débil
2025-03-01,0.663,Cálida débil
2025-04-01,0.45,Cálida débil
2025-05-01,0.15,Neutral
2025-06-01,0.093,Neutral
2025-07-01,0.133,Neutral
2025-08-01,-0.043,Neutral
2025-09-01,-0.243,Neutral
2025-10-01,-0.417,Fría débil
2025-11-01,-0.477,Fría débil
2025-12-01,-0.457,Fría débil
2026-01-01,-0.067,Neutral
2026-02-01,0.437,Cálida débil
2026-03-01,0.97,Cálida débil
2026-04-01,1.337,El Niño Costero moderado
2026-05-01,1.56,El Niño Costero moderado
