lead,N,model,NSE,KGE,MAE,CRPS,CSI,POD,FAR
1,420,Persistencia,0.955,0.977,1.15,0.576,0.545,0.706,0.294
1,420,LightGBM,0.933,0.855,1.5,0.564,0.333,0.353,0.143
1,420,RA-TFT,0.948,0.932,1.59,0.522,0.48,0.706,0.4
2,421,Persistencia,0.891,0.945,1.81,0.903,0.259,0.412,0.588
2,421,LightGBM,0.864,0.794,2.19,0.754,0.111,0.118,0.333
2,421,RA-TFT,0.891,0.917,2.19,0.703,0.333,0.529,0.526
2,421,HydroST,0.897,0.875,2.04,0.931,0.353,0.706,0.586
3,422,Persistencia,0.827,0.913,2.34,1.168,0.133,0.235,0.765
3,422,LightGBM,0.795,0.746,2.71,0.892,0.0,0.0,1.0
3,422,RA-TFT,0.83,0.9,2.68,0.87,0.129,0.235,0.778
5,423,Persistencia,0.694,0.849,3.17,1.583,0.062,0.118,0.882
5,423,LightGBM,0.685,0.679,3.33,1.121,0.0,0.0,1.0
5,423,RA-TFT,0.735,0.862,3.32,1.128,0.033,0.059,0.929
7,423,Persistencia,0.614,0.809,3.7,1.852,0.03,0.059,0.941
7,423,LightGBM,0.639,0.673,3.6,1.254,0.0,0.0,1.0
7,423,RA-TFT,0.678,0.834,3.76,1.288,0.0,0.0,1.0
14,418,Persistencia,0.457,0.731,4.57,2.284,0.03,0.059,0.941
14,418,LightGBM,0.415,0.461,4.9,1.658,0.0,0.0,1.0
14,418,RA-TFT,0.494,0.714,4.57,1.583,0.051,0.118,0.917
